TYPE           STATUS  START                          END
BACKUP_VOLUME  DONE    2026-07-22T05:30:06.802+00:00  2026-07-22T05:31:38.005+00:00
FAILOVER       DONE    2026-07-21T07:58:25.160+00:00  2026-07-21T07:58:49.794+00:00
FAILOVER       DONE    2026-07-21T07:55:41.633+00:00  2026-07-21T07:56:13.306+00:00
BACKUP_VOLUME  DONE    2026-07-21T05:01:29.027+00:00  2026-07-21T05:03:00.245+00:00
BACKUP_VOLUME  DONE    2026-07-20T03:12:53.964+00:00  2026-07-20T03:14:25.167+00:00
BACKUP_VOLUME  DONE    2026-07-19T03:57:44.957+00:00  2026-07-19T03:59:16.135+00:00
BACKUP_VOLUME  DONE    2026-07-18T04:37:23.350+00:00  2026-07-18T04:38:54.520+00:00
BACKUP_VOLUME  DONE    2026-07-17T05:17:05.907+00:00  2026-07-17T05:18:37.133+00:00
BACKUP_VOLUME  DONE    2026-07-16T05:06:16.317+00:00  2026-07-16T05:07:47.507+00:00
BACKUP_VOLUME  DONE    2026-07-15T05:15:11.830+00:00  2026-07-15T05:16:43.051+00:00
BACKUP_VOLUME  DONE    2026-07-14T03:25:07.689+00:00  2026-07-14T03:26:38.877+00:00
